Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_M_allocate(unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_Vector_impl::_Vector_impl()
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_Vector_impl::~_Vector_impl()
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_Vector_base()
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::~_Vector_base()
  0.00      2.48     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&)
  0.00      2.48     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<HashMap<int>::Entry> >::deallocate(std::allocator<HashMap<int>::Entry>&, HashMap<int>::Entry*, unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<HashMap<int>::Entry> >::allocate(std::allocator<HashMap<int>::Entry>&, unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::Entry* std::__uninitialized_default_n_1<false>::__uninit_default_n<HashMap<int>::Entry*, unsigned long>(HashMap<int>::Entry*, unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_S_relocate(HashMap<int>::Entry*, HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry>&)
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_S_do_relocate(HashMap<int>::Entry*, HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry>&, std::integral_constant<bool, true>)
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_M_default_append(unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::resize(unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::vector()
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::~vector()
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::Entry* std::__relocate_a<HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry> >(HashMap<int>::Entry*, HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry>&)
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::Entry* std::__relocate_a_1<HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry> >(HashMap<int>::Entry*, HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry>&)
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::Entry* std::__uninitialized_default_n<HashMap<int>::Entry*, unsigned long>(HashMap<int>::Entry*, unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::Entry* std::__uninitialized_default_n_a<HashMap<int>::Entry*, unsigned long, HashMap<int>::Entry>(HashMap<int>::Entry*, unsigned long, std::allocator<HashMap<int>::Entry>&)
  0.00      2.48     0.00        2     0.00     0.00  void std::_Destroy<HashMap<int>::Entry*>(HashMap<int>::Entry*, HashMap<int>::Entry*)
  0.00      2.48     0.00        2     0.00     0.00  void std::_Destroy<HashMap<int>::Entry*, HashMap<int>::Entry>(HashMap<int>::Entry*, HashMap<int>::Entry*, std::allocator<HashMap<int>::Entry>&)
  0.00      2.48     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.48     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.48     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.48     0.00        1     0.00     0.00  task1()
  0.00      2.48     0.00        1     0.00     2.44  task2()
  0.00      2.48     0.00        1     0.00     0.00  task0_2()
  0.00      2.48     0.00        1     0.00     0.00  task0_3()
  0.00      2.48     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00      2.48     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
